start,odd_start,compressed_length,exponent_word,exponent_sum,exponent_mean,exponent_one_count,exponent_one_ratio,net_log2_factor,max_odd_value
304,19,6,1 3 1 2 3 4,14,2.333333,2,0.333333,-4.490225,29
305,305,11,2 4 1 2 2 4 1 1 2 3 4,26,2.363636,3,0.272727,-8.565412,305
306,153,11,2 1 3 2 2 4 1 1 2 3 4,25,2.272727,3,0.272727,-7.565412,173
307,307,11,1 3 3 2 2 4 1 1 2 3 4,26,2.363636,3,0.272727,-8.565412,461
308,77,6,3 3 1 2 3 4,16,2.666667,1,0.166667,-6.490225,77
309,309,6,5 3 1 2 3 4,18,3.000000,1,0.166667,-8.490225,309
310,155,30,1 2 1 1 1 2 3 1 1 2 1 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,55,1.833333,17,0.566667,-7.451125,3077
311,311,30,1 1 3 1 1 2 3 1 1 2 1 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,56,1.866667,17,0.566667,-8.451125,3077
312,39,11,1 1 2 1 4 1 3 1 2 3 4,23,2.090909,5,0.454545,-5.565412,101
313,313,47,2 1 2 2 1 1 2 2 3 1 1 1 1 4 1 2 1 1 2 1 1 1 2 3 1 1 2 1 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,83,1.765957,26,0.553191,-8.506762,3077
314,157,11,3 1 2 1 4 1 3 1 2 3 4,25,2.272727,4,0.363636,-7.565412,157
315,315,11,1 2 1 6 2 1 3 1 2 3 4,26,2.363636,4,0.363636,-8.565412,533
316,79,11,1 1 1 3 4 1 3 1 2 3 4,24,2.181818,5,0.454545,-6.565412,269
317,317,11,3 1 1 3 4 1 3 1 2 3 4,26,2.363636,4,0.363636,-8.565412,317
318,159,18,1 1 1 1 2 1 1 1 1 4 2 2 4 3 1 1 5 4,36,2.000000,10,0.555556,-7.470675,3077
319,319,18,1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,37,2.055556,10,0.555556,-8.470675,3077
320,5,1,4,4,4.000000,0,0.000000,-2.415037,5
321,321,6,2 2 5 2 3 4,18,3.000000,0,0.000000,-8.490225,321
322,161,35,2 2 1 2 1 1 2 1 1 1 2 3 1 1 2 1 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,63,1.800000,19,0.542857,-7.526312,3077
323,323,35,1 4 1 2 1 1 2 1 1 1 2 3 1 1 2 1 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,64,1.828571,20,0.571429,-8.526312,3077
324,81,6,2 3 1 1 5 4,16,2.666667,2,0.333333,-6.490225,81
325,325,6,4 3 1 1 5 4,18,3.000000,2,0.333333,-8.490225,325
326,163,6,1 5 1 1 5 4,17,2.833333,3,0.500000,-7.490225,245
327,327,52,1 1 2 2 1 1 1 1 2 1 2 2 5 3 1 1 1 2 2 1 2 1 1 2 1 1 1 2 3 1 1 2 1 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,91,1.750000,29,0.557692,-8.581950,3077
328,41,40,2 1 1 1 1 2 2 1 2 1 1 2 1 1 1 2 3 1 1 2 1 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,69,1.725000,23,0.575000,-5.601500,3077
329,329,16,2 1 1 3 2 3 1 2 1 4 1 3 1 2 3 4,34,2.125000,6,0.375000,-8.640600,557
330,165,40,4 1 1 1 1 2 2 1 2 1 1 2 1 1 1 2 3 1 1 2 1 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,71,1.775000,23,0.575000,-7.601500,3077
331,331,6,1 2 5 1 5 4,18,3.000000,2,0.333333,-8.490225,497
332,83,40,1 3 1 1 1 2 2 1 2 1 1 2 1 1 1 2 3 1 1 2 1 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,70,1.750000,23,0.575000,-6.601500,3077
333,333,40,3 3 1 1 1 2 2 1 2 1 1 2 1 1 1 2 3 1 1 2 1 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,72,1.800000,22,0.550000,-8.601500,3077
334,167,23,1 1 2 1 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,44,1.913043,13,0.565217,-7.545862,3077
335,335,23,1 1 1 3 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,45,1.956522,13,0.565217,-8.545862,3077
336,21,1,6,6,6.000000,0,0.000000,-4.415037,21
337,337,40,2 3 1 1 1 1 4 1 2 1 1 2 1 1 1 2 3 1 1 2 1 2 1 1 1 1 1 3 1 1 1 4 2 2 4 3 1 1 5 4,72,1.800000,23,0.575000,-8.601500,3077
338,169,16,2 1 1 1 1 1 1 2 4 3 3 3 1 2 3 4,33,2.062500,7,0.437500,-7.640600,1457
339,339,16,1 3 1 1 1 1 1 2 4 3 3 3 1 2 3 4,34,2.125000,7,0.437500,-8.640600,1457
