dimension,birth,death,persistence
1,1.0250000000000019e-05,3.430423666910129e-05,2.4054236669101272e-05
1,1.3000000000000023e-05,3.6599348072562614e-05,2.359934807256259e-05
1,1.0250000000000019e-05,3.3833119692357126e-05,2.3583119692357108e-05
1,1.0250000000000019e-05,3.3833119692357126e-05,2.3583119692357108e-05
1,1.0250000000000019e-05,3.3833119692357126e-05,2.3583119692357108e-05
1,1.0250000000000019e-05,3.3833119692357126e-05,2.3583119692357108e-05
1,1.0250000000000019e-05,3.3833119692357126e-05,2.3583119692357108e-05
1,1.0250000000000019e-05,3.3833119692357126e-05,2.3583119692357108e-05
1,1.024999999999988e-05,3.383311969235683e-05,2.358311969235695e-05
1,1.0250000000000019e-05,3.376554894537541e-05,2.351554894537539e-05
1,2.125000000000004e-05,4.466489795918394e-05,2.3414897959183904e-05
1,1.3250000000000024e-05,3.6599348072562614e-05,2.334934807256259e-05
1,1.3000000000000023e-05,3.62135488990282e-05,2.3213548899028175e-05
1,1.0250000000000019e-05,3.3203125000000416e-05,2.2953125000000397e-05
1,1.125000000000002e-05,3.4104938271605794e-05,2.2854938271605774e-05
1,1.625000000000003e-05,3.908950617283973e-05,2.2839506172839702e-05
1,1.0000000000000018e-05,3.2745361328124924e-05,2.2745361328124905e-05
1,1.3000000000000023e-05,3.5686819567426643e-05,2.268681956742662e-05
1,8.000000000000015e-06,3.0432098765431874e-05,2.243209876543186e-05
1,1.5250000000000028e-05,3.755688190995015e-05,2.230688190995012e-05
1,1.125000000000002e-05,3.3532688093499494e-05,2.2282688093499474e-05
1,9.250000000000016e-06,3.1424036533749505e-05,2.217403653374949e-05
1,4.5250000000000083e-05,6.727999999999978e-05,2.2029999999999693e-05
1,5.82500000000001e-05,8.027777777777805e-05,2.2027777777777944e-05
1,2.1250000000000035e-05,4.319214876033098e-05,2.1942148760330945e-05
1,2.0000000000000036e-05,4.187059451762197e-05,2.1870594517621936e-05
1,1.8500000000000033e-05,4.027777777777806e-05,2.177777777777803e-05
1,1.5250000000000028e-05,3.6989795918367544e-05,2.1739795918367515e-05
1,1.1249999999999853e-05,3.2745361328124924e-05,2.149536132812507e-05
1,2.125000000000004e-05,4.264568158168536e-05,2.139568158168532e-05
1,1.4500000000000027e-05,3.5872781065088635e-05,2.1372781065088608e-05
1,1.5250000000000028e-05,3.659934807256262e-05,2.1349348072562592e-05
1,2.1250000000000035e-05,4.250000000000008e-05,2.1250000000000042e-05
1,6.850000000000012e-05,8.944346020761315e-05,2.094346020761303e-05
1,1.4500000000000027e-05,3.5382231404958666e-05,2.088223140495864e-05
1,1.7999999999999865e-05,3.87789256198349e-05,2.0778925619835038e-05
1,1.5250000000000027e-05,3.5872781065088574e-05,2.062278106508855e-05
1,1.5249999999999859e-05,3.5709876543209686e-05,2.0459876543209827e-05
1,1.1249999999999853e-05,3.1655990304708965e-05,2.0405990304709112e-05
1,1.1249999999999938e-05,3.165599030470856e-05,2.040599030470862e-05
1,4.250000000000007e-05,6.286982248520696e-05,2.036982248520689e-05
1,1.5250000000000028e-05,3.554633253377058e-05,2.0296332533770553e-05
1,1.3000000000000023e-05,3.3203125000000124e-05,2.02031250000001e-05
1,1.3000000000000023e-05,3.314471335052574e-05,2.0144713350525713e-05
1,2.0500000000000038e-05,4.0579498352641034e-05,2.0079498352640996e-05
